sep=,
"Time","1.8.0 Einkauf","2.8.0 Verkauf","Wärmepumpe","Geschäft","PVWR01","PVWR02"
1700217900000,10402718.42791411,-11115950.487675508,24011821.867065873,17316826.68,43374,41669
1700218800000,10402850.933333345,-11115950.5,24011838.612612613,17316884.940140843,43374,41669
1700219700000,10403113.46879334,-11115992.804060336,24011857.545023702,17316950.519859813,43374,41669
1700220600000,10403148.94312575,-11116114.08213865,24011917.484693877,17317016.05827506,43374,41669
1700221500000,10403234.04200477,-11116125.699999936,24011995.347887326,17317081.526193246,43374,41669
